number,doi,citekey
1,10.1021/acsnano.6c02966,fanChiralityEngineeringBiOCl2026
2,10.1021/jacs.6c03497,chenSynergyCompetitionDual2026
3,10.1021/jacs.6c04967,yorkgitisThreeStateElectrochiropticalSwitches2026
4,10.1021/acsnano.6c03626,bhattChiralityInducedOdd2026
5,10.1021/acsanm.6c01404,zhangModulationLuminescenceMagnetic2026
6,10.1021/acsanm.6c01432,yangIntrinsicallyChiralPlasmonic2026
7,10.1021/jacs.6c04102,luchtAxiallyChiralBifluorenylidene2026
8,10.1021/jacs.6c05771,ranaEnantiospecificMagnetoconductanceAsymmetry2026
9,10.1021/acsami.6c01087,ghodratiSimulationSelfAssembledMonolayers2026
10,10.1021/jacs.5c21153,zhangChiralCovalentOrganic2026
11,10.1021/jacs.6c02817,jiaChiralHelicalMetal2026
12,10.1021/acsnano.6c04758,huangReversibleSwitchingChirality2026
13,10.1021/acsnano.6c05258,zhouSpinPolarizationTailoredOxygen2026
14,10.1021/acs.jpclett.6c00585,celadaWilsonLoopTool2026
15,10.1021/acs.jpclett.6c00717,mamontovCloseShellBiradicalEnantiomers2026
16,10.1021/acs.nanolett.6c01053,taghizadehsisakhtSpinOrbitalAngular2026
17,10.1021/acs.jpclett.6c00793,nuominPropertiesCurrentInduced2026
18,10.1021/acsnano.6c01719,jeongCurrentDrivenSymmetryBreaking2026
19,10.1021/acsomega.6c02067,xuFullSymmetryBreakingElectronic2026
20,10.1021/acs.jpclett.6c00705,kaponTemperatureEnhancedCoerciveField2026
21,10.1021/acsami.6c02690,beakInducingChiralityNType2026
22,10.1021/acsnano.5c17857,leskoProbingBrokenTimeReversal2026
23,10.1021/acs.jpclett.5c03955,fengLargeAreaThreeDimensionalDisplaced2026
24,10.1021/acs.jpclett.6c00490,liMultifieldModulationResistance2026
25,10.1021/acs.cgd.5c01706,luZeroDimensionalChiralCopper2026
26,10.1021/acsnanoscienceau.5c00184,serrano-freijeiroChiralAuAgCore2026
27,10.1021/acs.analchem.6c00229,xuChiralZnONanostructures2026
28,10.1021/acs.jpclett.6c00309,alehyaneOpticalPropertiesChiral2026
29,10.1021/acs.nanolett.5c05222,chenReversalSpinSignals2026
30,10.1021/jacs.5c22161,pengBifunctionalPhenylalanineLysine2026
31,10.1021/acsnano.5c20228,weightVisualUnderstandingCircular2026
32,10.1021/acs.jpclett.6c00203,mittalDecodingAminoAcids2026
33,10.1021/jacs.5c20171,tangAdvancingRoomTemperatureSpin2026
34,10.1021/acsomega.5c07837,nguyenDensityFunctionalTheory2026
35,10.1021/acsenergylett.6c00073,declercqImpactChiralitySinglet2026
36,10.1021/acs.jpclett.5c03970,pengPhaseSpaceElectronic2026
37,10.1021/acsami.6c00049,suShiningLightGroup2026
38,10.1021/jacs.5c20735,labellaStableNHContainingChiral2026
39,10.1021/acsami.5c22898,guoOrganicSemiconductorSpintronics2026
40,10.1021/acs.analchem.5c07723,wangMorphologicalChiralEngineering2026
41,10.1021/acsnano.5c21063,schneiderEffectsSurfaceSpin2026
42,10.1021/acs.jpclett.5c02850,wangMixedQuantumClassicalApproaches2026
43,10.1021/acsnano.5c15791,baljozovicAdsorptionInducedSurfaceMagnetism2026
44,10.1021/acs.nanolett.5c05046,liuSymmetryBreakingHighSpeed2026
45,10.1021/acs.accounts.5c00754,jiangTwistedGrapheneNanoribbons2026
46,10.1021/acsnano.5c12973,zhangLandingEnergyControlledSurfaceConformation2026
47,10.1021/jacs.5c15608,palContactElectrificationBased2026
48,10.1021/acs.jpcc.5c07666,
49,10.1021/acs.jpclett.5c03604,dangProbingRoleMolecular2026
50,10.1021/jacs.5c18071,jiangTopologyControlledChiralitySpin2026
51,10.1021/acscatal.5c07855,huangChiralInducedSpinSelectivity2026
52,10.1021/acs.jctc.5c01410,chenChiralityInducedOrbitalAngularMomentumSelectivity2026
53,10.1021/acsaelm.5c02560,liaoBidirectionalMagnetizationSwitching2026
54,10.1021/acs.accounts.5c00703,liHighlyEfficientCircularly2026
55,10.1021/acsnano.5c10577,leeRealSpaceImaging2025
56,10.1021/acs.nanolett.5c04678,niuSynthesizingTwoDimensionalChiral2025
57,10.1021/jacs.5c17056,wangChiralityEnhancedTripletState2025
58,10.1021/acscatal.5c06812,liTemperatureDependentChiralInducedSpin2025
59,10.1021/acs.jpclett.5c03056,franssonWhatDoesIt2025
60,10.1021/acs.macromol.5c01499,sharmaExaminingImpactSideChain2025
61,10.1021/acsami.5c16547,chenStructuralEngineeringChiralityInduced2025
62,10.1021/jacs.5c12143,ranaChiralityInducedSpinSelectivity2025
63,10.1021/jacs.5c14127,vadakkayilSynergisticSpinMediatedCatalysis2025
64,10.1021/acsnano.5c14333,vensausSpinPolarizedElectronTransport2025
65,10.1021/acscatal.5c04700,okaEnantioselectiveAdsorptionLaccase2025
66,10.1021/acsnano.5c16086,sarkarSpinterfaceMechanismChiralInduced2025
67,10.1021/acs.macromol.5c01442,tokutakeAntiferromagneticOpticallyActive2025
68,10.1021/acsanm.5c02709,jimenezChemistryChiralityComplexity2025
69,10.1021/acs.jpclett.5c02519,liuSpintoChargeConversionModulated2025
70,10.1021/jacs.5c11502,pohPhotoredoxCatalysisSpin2025
71,10.1021/acs.accounts.5c00490,wangAcylaminoAcidAmidothiourea2025
72,10.1021/acsnano.5c12765,shibyInterplayChiroOpticalSpin2025
73,10.1021/jacs.5c07995,xuUbiquitousChiralSymmetry2025
74,10.1021/acs.jpclett.5c02119,fayEnantioselectiveRadicalReactions2025
75,10.1021/acsami.5c13020,mcnamaraStrongNIRII2025
76,10.1021/acs.jpclett.5c01813,saviChiralityInducedSpinSelectivity2025a
77,10.1021/acs.chemmater.5c01302,gargMetalMediatedTunableSpinSelective2025
78,10.1021/acs.chemmater.5c01592,joseyiiiDimensionalEngineeringHybrid2025
79,10.1021/acsnano.5c11532,tiffanyInducingCircularDichroism2025
80,10.1021/acs.jpclett.5c02113,seibelUltrafastTransversalCISS2025
81,10.1021/acs.nanolett.5c02909,haoActivatingChiropticalProperties2025
82,10.1021/jacs.5c10851,mantelEffectChiralityUltrafast2025
83,10.1021/jacs.5c06549,popChiralMetallicDMEDTTTF2025
84,10.1021/acs.inorgchem.5c01731,doldTrielDefinedHelicityOneDimensional2025
85,10.1021/acs.jpca.5c02772,antoniniAutomaticGenerationDensityFitting2025
86,10.1021/jacs.5c06460,zhangAmplifyingChiralityInducedSpin2025
87,10.1021/acs.orglett.5c02299,ucedaHelicalPConjugatedStructure2025
88,10.1021/acscatal.5c01589,zhangEfficientCO2Electroreduction2025
89,10.1021/jacs.5c08517,liTooFastSpin2025
90,10.1021/jacs.5c04887,cadedduCircularlyPolarizedLuminescence2025
91,10.1021/acsmaterialslett.5c00465,wuChiralPlasmonicStructures2025
92,10.1021/acs.jpclett.5c01385,piquero-zulaicaAchiralElectronicStructure2025
93,10.1021/acsnano.5c02685,sunMagneticOrganicInorganic2025
94,10.1021/acs.jpclett.5c01179,liuDynamicalSimulationChiralInduced2025
95,10.1021/acs.jpclett.5c01495,preeyankaProteinConformationGoverns2025
96,10.1021/acs.nanolett.5c01297,hossainObservationTwoTerminalCISS2025
97,10.1021/jacs.5c06394,viudesAllHeteroatomSubstitutedCarbonSpiro2025
98,10.1021/acs.jpcc.5c02365,liuEnhancementChiralInducedSpin2025
99,10.1021/acs.nanolett.5c00544,kumariModelingSpinOrbitronicsEffects2025
100,10.1021/acsami.5c05944,wangNearInfraredCircularlyPolarized2025
101,10.1021/acsnano.5c06982,zhuEnantiospecificityOrganicPhotoelectrochemical2025
102,10.1021/acs.jpclett.5c00755,chiesaChiralityInducedSpinSelectivity2025
103,10.1021/acs.jpclett.5c00960,jiFirstSecondOrderTopological2025
104,10.1021/acsnano.5c03149,liuHelicalPerovskiteNanowires2025
105,10.1021/acsnano.5c04980,albroMeasurementPlatformProbe2025a
106,10.1021/jacs.5c03394,wangBoostingSelectivityOxygen2025
107,10.1021/acs.jpclett.5c00104,franssonChiralInducedSpin2025a
108,10.1021/acs.jpcb.5c01150,vyasRoleElectronSpin2025
109,10.1021/jacs.5c02723,jiangSpinFilteringSurfaceActive2025
110,10.1021/jacs.5c04134,chenChiralAllInorganicPerovskite2025
111,10.1021/acs.jctc.4c01294,bianPhaseSpaceViewVibrational2025
112,10.1021/acs.jpcc.4c08221,ooeBrominationEnhancedChiralInteractions2025
113,10.1021/acsnano.4c14460,jungUniversalChiralNanopaint2025
114,10.1021/prechem.4c00084,liuPrecisionIntercalationOrganic2025
115,10.1021/acs.accounts.4c00754,chenSymmetryBreakingCase2025
116,10.1021/acsnano.4c18268,liuManyBodyEffectsHeterogeneous2025
117,10.1021/acs.jpclett.4c03734,franssonChiralityAssistedTriplet2025a
118,10.1021/acsanm.4c05768,zhouCircularlyPolarizedPhotodetectors2025
119,10.1021/acs.energyfuels.4c04304,bhowmickChiralMetalCoating2025
120,10.1021/acsnano.4c14328,danWhyMixedHalides2024
121,10.1021/acsaelm.4c00415,shiriNoMoreConductance2024
122,10.1021/jacs.4c14544,izquierdo-garciaEnantiomericallyPureHelical2024
123,10.1021/acs.chemmater.4c02108,hossainEfficientTransferChirality2024
124,10.1021/acscatal.4c04477,vadakkayilImprovedCatalystPerformance2024
125,10.1021/acs.nanolett.4c04295,sunChiralInorganicPolar2024
126,10.1021/jacs.4c12974,montiSurfaceMagneticStabilization2024
127,10.1021/acs.jpclett.4c02617,naamanWhatCanCISS2024
128,10.1021/acs.nanolett.4c03627,tanFamilyTwistedChiral2024
129,10.1021/acs.nanolett.4c02912,chiesaManyBodyModelsChiralityInduced2024a
130,10.1021/jacs.4c08706,eckvahlDetectingChiralityInducedSpin2024
131,10.1021/acs.jctc.4c00267,dayChiralityInducedSpinSelectivity2024
132,10.1021/acs.jpclett.4c01423,singhbishtSpinFilteringAmplification2024a
133,10.1021/acs.jpclett.4c01362,franssonCurrentInducedSpinPolarization2024a
134,10.1021/jacs.4c02057,guoChiralPConjugatedDouble2024
135,10.1038/s41467-025-67988-8,sunRobustChiralityinducedSpin2025
136,10.1038/s41467-026-70362-x,chenChiralityTransferChiral2026
137,10.1038/s41467-026-71190-9,yuSpinselectiveHeterogeneousChiral2026
138,10.1038/s42005-026-02564-0,orbanSuperconductingDiodeEffect2026a
139,10.1038/s43246-025-01055-z,rohmerChiralInducedSpin2025
140,10.1038/s44306-026-00141-3,joUnconventionalOrbitalCurrents2026
141,10.1016/j.electacta.2026.148831,grecchiChemicalPumpingWireless2026
142,10.1016/j.microc.2026.118632,zhangChiralinducedSpinselectiveCharge2026
143,10.1016/j.coelec.2026.101888,yeSpinMagnetismNew2026
144,10.1002/advs.76252,nalakathChiralInducedSpinSelectivity2026
145,10.1002/flm2.70084,zhangChiralPerovskitesNextgeneration2026
146,10.1039/D5MH01737H,shibyEmergenceMagneticMonopolelike2026
147,10.1063/5.0336272,jangPerspectiveFermisGolden2026
148,10.1039/D6NR00383D,yamamotoChiralityinducedSpinSelectivity2026
149,10.1002/advs.76090,huangSpinSelectiveOxygenEvolution2026
150,10.1039/D6TC00381H,patraShapedirectedSelfassemblyColumnar2026
151,10.1002/inf2.70155,liDesigningChiralOrganic2026
152,10.1039/D6SC01358A,singhbishtChiralityInducedLongrange2026
153,10.1002/adma.73460,yaoAdvancingLithiumOxygen2026
154,10.1016/j.matt.2026.102758,fengChiralPerovskitesChirality2026
155,10.1103/1g18-y6f1,stuermerSpinDependenceCharge2026
156,10.1103/pgs4-4nds,meyerSingleEnantiomerSpinPolarizers2026
157,10.1360/CSB-2025-5803,wangCrossscaleMechanismsBiomagnetic2026
158,10.3390/batteries12060186,carellaMetalAirBatteries2026
159,10.3390/molecules31111953,maStereoselectiveSynthesisTopologically2026
160,10.1016/j.poly.2026.118268,colomaCationicChiralatmetalPaddlewheel2026
161,10.1002/adfm.75593,ozeriChiralityOrganizationAdsorbates2026
162,10.1002/agt2.70354,bilezikianWaveMechanicsCiliary2026
163,10.1002/smll.73856,zhangChiralityEngineeringProperties2026
164,10.1002/tcr.70182,wuMultilevelStrategiesOxygen2026
165,10.1039/D5CC05610A,heChiralitytunedMagneticSusceptibility2026
166,10.1039/D6CP00252H,jaaskoOpticalPropertiesMetalionmediated2026
167,10.1039/D5NR04557F,salaSpinOrbitCoupling2026
168,10.1039/D6TC00671J,hartmannThroughbondThroughspaceConjugation2026
169,10.1002/smll.202514649,kimSupramolecularChiralAssembly2026
170,10.1039/D5TA09768A,lenguyenLeveragingChiralInduced2026
171,10.1039/D6CC01127F,yasminElectrocatalysisLensCISS2026
172,10.1039/D5EY00314H,chemohamadHarnessingChiralityNanomaterials2026
173,10.1039/D6NR00364H,shiChiralBiO2CO32026
174,10.1038/s41560-026-02062-1,tanChiralityinducedSpinSelectivity2026
175,10.1002/adma.202515236,fuChiralInorganicNanomaterials2026
176,10.1002/advs.74715,ucedaArtificialIntelligencePredictions2026
177,10.1002/cnl2.70163,xuSpinEffectsPhotocatalysis2026
178,10.1007/s40843-025-3877-7,liMolecularDesignSupramolecular2026
179,10.1007/s40843-025-3985-4,liChiralElectronicStructures2026
180,10.1016/j.jelechem.2026.119910,zhaoElectrochemiluminescenceChiralAnalysis2026
181,10.1038/s44287-026-00284-9,luSpinLightemittingDiodes2026
182,10.1103/1q4n-jtvb,mingElectricFieldDriven2026
183,10.1103/l9tf-qqr2,kajiharaSpinCurrentGeneration2026
184,10.1134/S1990793126700144,skoblinPhysicalReasonsOvercoming2026
185,10.1063/5.0324706,upadhyayWeakElectronPhonon2026
186,10.1126/sciadv.aec9325,paltielDynamicBreakingMirror2026
187,10.1039/D5QI02034D,hoffmanEuIiiDilution2026
188,10.1146/annurev-physchem-083122-125320,nuominTheoriesChiralInducedSpin2026
189,10.1039/D5CC07243C,hechterConstructionComputationCharacterisation2026
190,10.1063/5.0300495,aliakbarChiralDiscriminationGatebased2026
191,10.1002/ange.8898375,zhuCaptodativeRadicalsCoupling2026
192,10.1002/anie.8898375,zhuCaptodativeRadicalsCoupling2026a
193,10.1088/1402-4896/ae5351,liGiantTransmissiveGoosHanchen2026
194,10.1002/ange.202525892,maChiralMesostructuredMo2026
195,10.1002/anie.202525892,maChiralMesostructuredMo2026a
196,10.1080/00268976.2026.2651410,eduardusChiralPtMeBPCHSynthesis2026
197,10.1002/adma.202523684,gauravChiralMetalHalide2026
198,10.1002/admt.202502247,tiwariIntelligentMolecularLogic2026
199,10.1002/adom.202502564,thanaiBayfunctionalized7HeliceneBilayer2026
200,10.1002/cptc.202500386,panagiotopoulouEngineeringAsymmetryHow2026
201,10.1016/j.isci.2026.115482,tangRiseChiralCarbon2026
202,10.1016/j.jcis.2025.139782,wangAqueousphaseHierarchicalChiral2026
203,10.1016/j.newton.2026.100480,theilerEquilibriumSpinPolarization2026
204,10.1016/j.snb.2026.139503,wangSlowPhotonpromotedSpindependent2026
205,10.1103/95kq-fss8,yoshimiChiralitydependentSpinPolarization2026
206,10.1364/AOP.560140,neufeldLightSymmetryChirality2026
207,10.1002/solr.202500805,liuEnhancedPhotocatalyticWater2026
208,10.1126/sciadv.aec7069,theilerPTSymmetryEnforced2026
209,10.1039/D5QO01701G,bergerChiralPextendedDiindenoperylenes2026
210,10.1080/10408347.2026.2639581,alvesSmartEnantioseparationCritical2026
211,10.7566/JPSJ.95.033801,akimotoThermalEinsteinHaas2026
212,10.1039/D5CS01114K,zhangCurvatureGeometrySpin2026
213,10.1002/adma.202523675,naamanWhyMechanismUnderlying2026
214,10.1002/adfm.202520933,zhouChiralIdentifiedMulticolorTunablePhotoluminescence2026
215,10.1002/adfm.202523339,guptaChiralNanohoopsEfficient2026
216,10.1002/adma.202511289,kimChiralAcousticPhonon2026
217,10.1002/adma.202519146,kimBroadbandCircularlyPolarized2026
218,10.1002/adom.202503285,ucedaDosDontsWhen2026
219,10.1002/agt2.70313,wangChiralMetalNanoclusters2026
220,10.1002/chir.70089,qinNanoscaleHelicalHeterojunctions2026
221,10.1007/s00894-026-06637-3,udoisohTerahertzinducedBerryCurvature2026
222,10.1016/j.chempr.2026.102993,vardiSpindependentIsotopicFractionation2026
223,10.1038/s41578-025-00864-5,bloomUsingChiralinducedSpin2025
