number,doi,citekey
1,10.1103/PhysRev.105.1413,wuExperimentalTestParity1957
2,10.1002/bdrc.21096,vargessonThalidomideinducedTeratogenesisHistory2015
3,10.59566/IJBS.2006.2085,laboratoryoftoxicologyfacultyofpharmacyuniversityofparis54avenuedelobservatoire75006parisfrance.ChiralDrugsOverview2006
4,10.1021/cr500671p,liuSupramolecularChiralitySelfAssembled2015
5,10.1101/cshperspect.a032540,blackmondOriginBiologicalHomochirality2019a
6,10.1371/journal.pcbi.1007592,chenOriginBiologicalHomochirality2020
7,10.1126/sciadv.adg8274,ozturkOriginBiologicalHomochirality2023a
8,10.1021/acs.chemrev.9b00474,glavinSearchChiralAsymmetry2020
9,10.1063/5.0156527,ozturkCentralDogmaBiological2023
10,10.1126/sciadv.adx4761,briggemanEngineeredChiralityOnedimensional2025a
11,10.1063/5.0274260,bradburySymmetryBreakingPredicted2025
12,10.1063/5.0265363,aharonySpinOrbitInteractions2025
13,10.1140/epjs/s11734-025-01630-y,mohtashimNeartermQuantumSimulation2025
14,10.1140/epjs/s11734-024-01188-1,sadhukhanPerspectiveActiveGlassy2024
15,10.1093/nsr/nwae314,chenSpindependentElectrocatalysis2024
16,10.1021/acs.jpclett.1c03925,franssonChargeSpinDynamics2022
17,10.1088/1367-2630/abc920,shitadeGeometricSpinOrbit2020a
18,10.1126/science.283.5403.814,rayAsymmetricScatteringPolarized1999
19,10.1103/PhysRevLett.74.4803,mayerExperimentalVerificationElectron1995
20,10.1088/0953-4075/30/23/014,noltingElectronDichroismNew1997
21,10.1021/acs.jpcc.1c01218,sangTemperatureDependenceCharge2021
22,10.1021/acs.jpcc.1c10550,dasTemperatureDependentChiralInducedSpin2022a
23,10.1021/jacs.4c16164,linMolecularEngineeringEmissive2025
24,10.1515/nanoph-2024-0420,kuppusamySpinbearingMoleculesOptically2024
25,10.1021/acs.chemrev.3c00840,zakrzewskiOpticalPhenomenaMoleculeBased2024
26,10.1063/5.0084072,maniMolecularQubitsBased2022
27,10.1021/acsnano.1c01347,aielloChiralityBasedQuantumLeap2022
28,10.1021/nl202950h,leeMappingNanomagneticFields2011
29,10.1002/smll.201602519,aragonesMeasuringSpinPolarizationPower2017a
30,10.1038/s41467-025-56718-9,singhSinglemoleculeJunctionsMap2025
31,10.1002/anie.202218640,ortunoChiralSingleMoleculePotentiometers2023
32,10.1073/pnas.1611467114,kumarChiralityinducedSpinPolarization2017a
33,10.1038/ncomms14567,bendorMagnetizationSwitchingFerromagnets2017
34,10.1021/acsnano.1c00455,meirzadaLongTimeScaleMagnetizationOrdering2021
35,10.1002/adma.202406347,liuChiralityInducedMagnetFreeSpin2024
36,10.1126/sciadv.ado4285,moharanaChiralinducedUnidirectionalSpintocharge2025
37,10.1002/anie.201501678,rosenbergChiralSelectiveChemistry2015
38,10.1021/jacs.8b08421,abendrothSpinDependentIonizationChiral2019
39,10.1126/science.adj5328,eckvahlDirectObservationChiralityinduced2023b
40,10.1021/jacs.1c02983,mondalSpinFilteringSupramolecular2021
41,10.1038/s41467-021-27708-4,pandeyChiralityTransmissionMacromolecular2022
42,10.1126/science.aar4265,banerjee-ghoshSeparationEnantiomersTheir2018
43,10.1021/jacs.0c10105,banerjee-ghoshLongRangeChargeReorganization2020
44,10.1002/anie.201911400,metzgerElectronSpinChiral2020a
45,10.1021/jacs.6b12971,mtangiControlElectronsSpin2017a
46,10.1021/acsenergylett.8b01454,zhangEnhancedElectrochemicalWater2018a
47,10.1126/science.abf5291,kimChiralinducedSpinSelectivity2021a
