number,doi,citekey
1,10.1073/pnas.2204765119,ozturkOriginsLifesHomochirality2022
2,10.1126/sciadv.adg8274,ozturkOriginBiologicalHomochirality2023a
3,10.1038/s41467-023-42130-8,ozturkChiralityinducedAvalancheMagnetization2023
4,10.1021/acs.jpcc.8b12027,ghoshControllingChemicalSelectivity2019
5,10.1021/acs.jpcc.0c07372,ghoshIncreasingEfficiencyWater2020
6,10.1073/pnas.2202650119,sangChiralityEnhancesOxygen2022
7,10.1021/acs.jpclett.2c03753,guptaEffectAnesthesiaGases2023
8,10.1038/ncomms14567,bendorMagnetizationSwitchingFerromagnets2017
9,10.1021/acs.nanolett.9b01552,alpernMagneticrelatedStatesOrder2019
10,10.1021/acs.jpclett.4c01362,franssonCurrentInducedSpinPolarization2024a
11,10.1021/acs.jpclett.5c00304,franssonChiralPhononsEnhance2025
12,10.1126/science.283.5403.814,rayAsymmetricScatteringPolarized1999
13,10.1126/science.1199339,gohlerSpinSelectivityElectron2011
14,10.1063/1.3167404,yeganehChiralElectronTransport2009
15,10.1209/0295-5075/99/17006,medinaChiralMolecularFilms2012a
16,10.1088/0953-8984/26/1/015008,varelaInelasticElectronScattering2014a
17,10.1103/physrevb.88.165409,eremkoSpinSensitiveElectron2013
18,10.1063/1.4921310,medinaContinuumModelChiral2015
19,10.1103/physreve.98.052221,diazEffectiveNonlinearModel2018a
20,10.1103/physrevb.99.024418,yangSpindependentElectronTransmission2019a
21,10.1088/1367-2630/aabb91,diazSpinDynamicsHelical2018
22,10.1021/acs.jpcc.9b05020,michaeliOriginSpinDependentTunneling2019
23,10.1103/physrevb.85.081404,gutierrezSpinselectiveTransportHelical2012a
24,10.1103/physrevlett.108.218102,guoSpinSelectiveTransportElectrons2012a
25,10.1073/pnas.1407716111,guoSpindependentElectronTransport2014a
26,10.1021/jp404066y,raiElectricallyDrivenSpin2013
27,10.1103/physrevb.93.075407,matityahuSpindependentTransportChiral2016
28,10.1103/physrevb.93.155436,varelaEffectiveSpinorbitCouplings2016a
29,10.1016/j.chemphys.2016.08.016,behniaModelingSpinSelectivity2016
30,10.1021/acs.jpclett.8b02360,maslyukEnhancedMagnetoresistanceChiral2018
31,10.1021/acs.jpclett.8b02196,diazThermalDecoherenceDisorder2018
